# File generated by CMD 3.2 (http://stev.oapd.inaf.it/cmd) on Wed Apr  3 18:15:55 CEST 2019
# isochrones based on PARSEC release v1.2S + COLIBRI release PR16, as in Marigo et al. 2017
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: DECAM (ABmags)
# Using OBC version of bolometric corrections as detailed in Marigo et al. (2008, A&A 482, 883) and Girardi et al. (2008, PASP 120, 583
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
Zini logAge Mini int_IMF  Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag    Ymag
0.00015542 7.699 0.0936379880 1.1156516075    0.094 -2.298  3.5702  4.940    0  0.000  0.545     0.00     0.00 -1 -7.09e-16      0.00 7.507e-01 2.491e-01 2.942e-05 7.937e-06 7.199e-05 -1.000 1.636e-04 10.516 14.583 12.345 10.895 10.345 10.069 9.968
0.00015542 7.699 0.0942567214 1.1212570667    0.094 -2.294  3.5706  4.941    0  0.000  0.545     0.00     0.00 -1 -7.13e-16      0.00 7.507e-01 2.491e-01 2.942e-05 7.937e-06 7.199e-05 -1.000 1.636e-04 10.506 14.565 12.331 10.883 10.334 10.059 9.958
0.00015542 7.699 0.0998409912 1.1697767973    0.100 -2.256  3.5744  4.941    0  0.000  0.545     0.00     0.00 -1 -7.57e-16      0.00 7.507e-01 2.491e-01 2.942e-05 7.937e-06 7.199e-05 -1.000 1.637e-04 10.409 14.399 12.199 10.767 10.230 9.957 9.857
0.00015542 7.699 0.1035730243 1.2002784014    0.103 -2.231  3.5771  4.943    0  0.000  0.545     0.00     0.00 -1 -7.85e-16      0.00 7.507e-01 2.491e-01 2.942e-05 7.937e-06 7.199e-05 -1.000 1.636e-04 10.347 14.287 12.112 10.691 10.163 9.891 9.792
0.00015542 7.699 0.1127810776 1.2697879076    0.113 -2.174  3.5821  4.944    0  0.000  0.545     0.00     0.00 -1 -8.56e-16      0.00 7.507e-01 2.491e-01 2.942e-05 7.937e-06 7.199e-05 -1.000 1.636e-04 10.206 14.054 11.923 10.525 10.012 9.742 9.644
0.00015542 7.699 0.1231520250 1.3397414684    0.123 -2.114  3.5879  4.945    0  0.000  0.545     0.00     0.00 -1  -9.4e-16      0.00 7.507e-01 2.491e-01 2.942e-05 7.937e-06 7.199e-05 -1.000 1.636e-04 10.055 13.701 11.669 10.333 9.845 9.586 9.492
0.00015542 7.699 0.1234430894 1.3415933847    0.123 -2.112  3.5881  4.945    0  0.000  0.545     0.00     0.00 -1 -9.43e-16      0.00 7.507e-01 2.491e-01 2.942e-05 7.937e-06 7.199e-05 -1.000 1.636e-04 10.050 13.690 11.662 10.327 9.841 9.582 9.487
0.00015542 7.699 0.1307517141 1.3863128424    0.131 -2.075  3.5912  4.946    0  0.000  0.545     0.00     0.00 -1 -9.97e-16      0.00 7.507e-01 2.491e-01 2.942e-05 7.937e-06 7.199e-05 -1.000 1.636e-04 9.958 13.464 11.501 10.210 9.738 9.487 9.395
0.00015542 7.699 0.1433131695 1.4560532570    0.143 -2.014  3.5964  4.945    0  0.000  0.545     0.00     0.00 -1  -1.1e-15      0.00 7.507e-01 2.491e-01 2.942e-05 7.937e-06 7.199e-05 -1.000 1.636e-04 9.804 13.090 11.235 10.014 9.569 9.329 9.242
0.00015542 7.699 0.1570633203 1.5238164663    0.157 -1.955  3.6011  4.945    0  0.000  0.545     0.00     0.00 -1  -1.2e-15      0.00 7.507e-01 2.491e-01 2.942e-05 7.937e-06 7.199e-05 -1.000 1.636e-04 9.658 12.821 11.023 9.846 9.416 9.184 9.100
